"FSSAI_No","Company_Name","Company_Address","Filling_Status","CIN","GST"
"PLOT NO 634, INDUSTRIAL COMPLEX, BLK-C, DSIDC","SANJEEVANI GRAINS PRIVATE LIMITED","[No records Found]","13323008000865","07AAMCS9714L1ZO"
"PLOT NO.817 INDUSTRIAL AREA, PHASE 2, CHANDIGARH.","INDIGENOUS FOOD PVT.LTD","[No records Found]","13017001000117","04AADCI1688L1ZC"
"C/o Jain Warehouses (B), Dag No. 435, Patta no. 99, Sindurighopa, Ambari Road, Changsari, Choukigate, Silasindurighopa, Guwahati","Green Agrevolution Private Limited","[No records Found]","10324002000073","06AAECG6456H1ZI"
"35, first floor Kh No. -369-371, main bhai market , M. G. Road, Ghitorni  Village , New Delhi -110038 ","CYTOGEN PHARMACEUTICALS INDIA PRIVATE LIMITED","[No records Found]","13314009000203","07AACCC3738N1ZE"
"Village Chhuhia, Kedia Gram","SETH BANSHIDHAR KEDIA CHAWAL PVT.LTD.","[No records Found]","10522024000150","22AAKCS7281E1ZB"
"Nanka Chak","Devson Private Limited","[No records Found]","11021999000009","01AAACD5815D1ZE"
"E-52, HAUZ KHAS, MAIN MARKET, SOUTH DELHI, NEW DELHI-110016","ISHII TRADING PRIVATE LIMITED","[No records Found]","13318008000455","07AAACI7876D1ZG"
"Z- 40 OKHLA PHASE 2 ","LIVING AND SPACE PROMOTERS PRIVATE LIMITED ","[No records Found]","13323010000571","09AAACL7415M2Z6"
"Khasra No. 179-180, Bela Bathri, Tahliwal, Dist Una, Himachal Pradesh","Ramkripa Agro Foods Private Limited","[No records Found]","10012062000190","02AADCR8763M2ZY"
"85/1, Munirka Village, Opposite Bank Of Baroda","BIG WONG HOSPITALITY PRIVATE LIMITED","[No records Found]","13324002000154","36AAGCB1271M1ZK"
"The Junkyard Cafe,N-90to93 and Half N-94 II Floor Munsilal Building Connaught Place N.Delhi-1","City One Restaurant Pvt Ltd","[No records Found]","13316009000034","07AAFCC9871M1ZZ"
"93/13, Road no-1A, Mundka Industrial Area","SHI Mediwear Pvt. Ltd.","[No records Found]","13323006000336","07AALCS2872A1ZF"
"U.G.-1 GROUND FLOOR ,BOMBAY TRADE CENTER,RING ROAD ,INDORE","BCA  HOSPITALITY PVT. LTD.","[No records Found]","11414850000018","23AABCB9102G1Z7"
"Industrial Plot No. 273, Ground floor, HSIIDC, Phase-I, Industrial Estate, Alipur, Barwala","ALNA BIOTECH PRIVATE LIMITED","[No records Found]","10822999000354","06AAICA0914G3Z1"
"PURANI CHAWANI,A.B.ROAD,GWALIOR .(M.P.)","AGRASEN COLD STORAGE Pvt Ltd.","[No records Found]","11415570000043","23AADCA7983L1ZA"
"5, MILE STONE, NISSING","K.T.C. FOODS PRIVATE LIMITED","[No records Found]","10814010000033","08AAECK6219J1ZC"
"Plot No.76 Block B Sec 69 Noida Gautham Buddh Nagar Uttar Pradesh","ID FRESH FOOD INDIA PRIVATE LIMITED","[No records Found]","12723055001400","07AAICM3930G1ZJ"
"Ground Floor, B-12/03034 & B-12/03034/1, Near Church, Nayagaon Adarsh Nagar, Mohali, SAS Nagar, Punjab-160014","VSAAR Pharma Pvt. Ltd.","[No records Found]","12119801000217","04AAECV0763C1ZR"
"13 SHRADHANAND MARG SANYOGITAGANJ","GURUDEO EXPORTS CORPORATION PRIVATE LIMITED","[No records Found]","10021026000127","23AAECG8693G1ZD"
"PLOT NO.5, KHASRA NO.672, KHEWAT NO.119 BALAJI INDUSTRIAL AREA, VILLAGE ASODHA BAHADURGARH","VS INTERCHEM PVT LTD","[No records Found]","10017064001093","06AABCV6713F1ZI"
" Khatu Mod Petrol Pump kai pass  Ringas th. Shree  Madhopur dist. Sikar of Rajasthan"," DEV MILK FOODS PRIVATE LIMITED","[No records Found]","12219020000219","08AACCD2586M1Z9"
"A-5, Malcha Marg, Chanakyapuri","Shri Kunj Bihari Builders Private Limited","[No records Found]","10021011000244","07AALCS1366D1ZE"
"CHANAKYA BUILDING, D-403, PLOT No. 23, SECTOR-4, DWARKA NEW DELHI, 110078","GOALGURU EDUSOFT PVT. LTD.","[No records Found]","10018011005314","07AAECG2959B1ZS"
"51,3rd floor Maa Gaytri Complex,Model Town ","Satyam Organic Farming Private","[No records Found]","10816018000038","06AAOCS8273L1ZK"
"F-1 KAVI NAGAR INDUSTRIAL AREA, GHAZIABAD","SUPER BAKERS PVT. LIMITED","[No records Found]","12718052000075","09AAHCS7307J2ZZ"
"118 Jagriti Enclave Delhi 110092","Kusum Overseas Private Limited ","[No records Found]","10016011003623","07AAJCS4996D2ZX"
"Shop no- fine dine-1, 4th floor, city emporium mall, plot no-143A, industrial area phase-1 chandigarh.","BEST FLORICULTURE PVT LTD","[No records Found]","13017001000688","04AADCB2667G1ZX"
"PLOT NO.12,INDUSTRIAL AREA,HATHIN,PALWAL-121103(HR)","SEETA FOODS PVT. LTD.","[No records Found]","10018064001366","06AAFCS5857F1Z6"
"Near Mann Filling Station,
Dharmsala, Distt. Kangra H.P.","Dholadhar Developers Pvt. Ltd.","[No records Found]","10917004000042","02AACCD6973C4ZW"
"Kotkapura Road, Jaitu, Distt. Faridkot","Rainbow Grains Private Limited","[No records Found]","12123121000010","03AAGCR8308F1ZK"
"C-12/18, GROUND FLOOR, SECTOR-3, ROHINI","AAA CONSTRUCTIONS PVT. LTD.","[No records Found]","10017011004126","07AADCA8629H1ZK"
"G-6, Vardhaman Shrenix Plaza, Plot 2, LSC, B-Block, Mayur Vihar Phase-II","Biorex Healthcare Pvt. Ltd.","[No records Found]","13314003000207","07AADCB4919K1ZJ"
"PLOT NO. 519, HSIIDC, FOOD PARK RAI, SONEPAT, HARYANA","KARNAV FOODS PVT LTD","[No records Found]","10816020000072","06AADCK9726F1ZG"
"HS 23, Second Floor, Kailash Colony Market, Greater Kailash-1, New Delhi-110048","LA Edukreation Pvt. Ltd.","[No records Found]","13324002000110","07AABCL3521D1Z2"
"PLOT NO. D, DISTRICT CENTRE, PASCHIM VIHAR","TIRUPATI INFRAPROJECTS PVT. LTD.","[No records Found]","13316007000085","07AACCT5825H1ZA"
"K NO. 77/8, PALLA ROAD, BAKHTAWARPUR, SARASWATI VIHAR","ATC FOODS PRIVATE LIMITED","[No records Found]","13322008000889","07AAJCA2768H1ZI"
"1st Floor and Half of the Second Floor, Kh. 1/2/3, Ram Rattan Building, Fatehpur Road, Asola, Fatehpur Beri, Near Chandan Complex","WHIZ FOODS PRIVATE LIMITED","[No records Found]","10020011008196","29AABCW2006Q1Z0"
"E-67, SITE-C, SIKANDRA INDUSTRIAL AREA, AGRA- UP ","ABC BEVERAGES PVT.LTD.","[No records Found]","10013051000812","09AAHCA3894N1ZY"
"Village Kufta P.o Durgapur Distt Shimla","Auramah Hotels Pvt Ltd","[No records Found]","10921009000075","02AADCC0389E1Z5"
"E 95 SECTOR 6 NOIDA","GMC BEVERAGES PVT LTD","[No records Found]","12716055000627","07AADCG7362H1ZI"
"Inside M/s Minda Industries Ltd, Sector-7, Village Hasamabad, District Sonipat","RED CARPET FOODS PVT. LTD.","[No records Found]","10821020000239","09AAGCR9793L1ZC"
"B-397, SARITA VIHAR NEW DELHI 110076","FLASHWAY IMPEX PVT LTD","[No records Found]","10016011003801","07AAACF7821M1ZF"
"Plot No. 15, MPIDC Food Park, Borgaon","Safal Food Products Private Limited","[No records Found]","11423999000099","23AAMCS4951M1ZV"
"PLOT NO.84, HSIIDC, FOOTWEAR PARK, SECTOR-17, BAHADURGARH, HARYANA-124507","DADMI TECHNOLOGIES PRIVATE LIMITED","[No records Found]","10019064002127","06AACCD4610L1ZU"
"45/1, First Floor, Corner Market, Malviya Nagar, New Delhi ","Indian Hut Private Limited","[No records Found]","10019011006362","07AABCI5634A1Z1"
"A-153, 154, 155 and 124, DSIIDC Industrial Complex, Narela","Sourcewell Flours Pvt. Ltd.","[No records Found]","13319002000773","07AATCS4709C1Z7"
"  C 6 6TH FLOOR VANDANA BLDG  TOLSTOY MRG","GULF ASSOCIATES PRIVATE LIMITED","[No records Found]","13322009000262","07AAECG6297L1Z0"
"SHOP NO. 238/239/240/241, 2ND FLOOR LAL GANGA SHOPPING MALL. G.E.ROAD, RAIPUR, C.G.","ANUKRUTI INFRACON PRIVATE LIMITED","[No records Found]","10015037000208","22AABCV3794Q1ZQ"
"1122, DLF Tower-A, Jasola, New Delhi","Al Maha Foods International Private Limited","[No records Found]","10015011002481","03AABCA8743L1ZM"
"J.K. LAKSHMIPATI UNIVERSITY, POST MAHAPURA, AJMER ROAD, JAIPUR RAJ. 302026","RESPITE HOTELS PVT. LTD.","[No records Found]","12218027000933","08AABCR6437N1ZW"
"3-4 RIZVI APARTMENT
MEDICAL ROAD","FAIRPRICE RETAILS LLP","[No records Found]","12717056000149","09AADFF1177A1ZU"
"SP3A, RIICO Industrial Area, Bhiwadi,","Muskaan Tradex Private Limited ","[No records Found]","12223999000289","06AAECM2832M1ZD"
"Celebration Cotton Candy, Walkstreet, Pacific Mall, NSP, Pitampura","Cosmos Foods Private Limited","[No records Found]","13322001000760","09AACCC3181H2ZP"
"B 371 MEERA BAGH PASCHIM VIHAR","R K Liners Private Limited","[No records Found]","13322006000364","07AAGCR6803F1ZG"
"18A, Kumhari Industrial Area Jaora","Dela Grain Foods Private Limited","[No records Found]","11416810000063","23AAFCD2441J1ZY"
"ABOVE PRINCE HYUNDAI, OPP. HOTEL UTSAV, A.B. ROAD, RAJENDRA NAGAR, INDORE","AYOU CINEMAS PVT LTD","[No records Found]","11420850000135","23AALCA7222L1ZM"
"Village Liwaspur, Rathdhana road, Distt Sonepat","AKHAND FOODS PRIVATE LIMITED","[No records Found]","10814020000296","07AAMCA7208F1ZQ"
"Plot no.65 Ground floor KH No 1142, Pocket-4 Gali No 7, Block B, Rangpuri Extension","ARROW XPRESS SOLUTIONS PVT LTD","[No records Found]","13321009000535","33AAJCA5147J1ZN"
" Departure SHA second floor of terminal 2","Durga Webtel Services Private Limited","[No records Found]","10023816000009","36AADCD8349R1ZU"
"JALUKBARI, B.R.DEKA PATH, JALUKBARI","ASOMI INDUSTRIES PRIVATE LIMITED","[No records Found]","10322001000431","18AAHCA8019R1Z0"
"6654/11, NEW GADODIA MARKET,
KHARI BAOLI, DELHI - 110006","SNEH QUALITY SPICES PVT. LTD.","[No records Found]","10016011003461","07AAOCS1182L1ZW"
"SCO. 117-119, Sector-17, Level-II, Chandigarh.","HNS Hospitality Pvt. Ltd.","[No records Found]","13017001000876","04AACCH4258C1Z1"
"SHOP UNIT NO 19 CSC  HAF POCKET-B SECTOR 22 DWARKA ","SMBBR SERVICES PRIVATE LIMITED","[No records Found]","13321011000627","07AASCS7984C1ZP"
"37B, ASHOKA AVENUE, SANIK FARMS","B R K BUSINESS PROMOTIONS PRIVATE LIMITED","[No records Found]","10019011006039","07AACCB6230E1Z5"
"31,FIRST FLOOR,KATRA ISHWAR BHAWAN,KHARI BAOLI,NEW DELHI,DELHI-110006","KASHMIR WALNUT OVERSEAS PRIVATE LIMITED","[No records Found]","13319002000260","01AACCK9136G1ZT"
"VILLAGE – NORTA, INDRI, 
DISTRICT - KARNAL, HARYANA 
","BEST FOODS COMMODITIES PRIVATE LIMITED","[No records Found]","10819010000056","06AAGCB0615D1ZC"
"163-KH KHASRA NO.17/3, GRAM SIMROL, TEHSIL MHOW, DISTRICT INDORE","SHARDIYA AGRITECH PVT. LTD.","[No records Found]","11414850002631","23AAQCS6227G1Z7"
"36 F.F D.D.A Mkt., Rajdhani Enclave,Pitampura, Delhi - 110034","SHRI SIDHIVINAYAK OVERSEAS PVT. LTD","[No records Found]","10020011007669","04AAOCS0084M1Z1"
"Dayanand Medical Collage & Hospital, Ludhiana","RTCS Hospitality Private Limited","[No records Found]","12115441000625","03AAGCR3757C1ZN"
"PLOT NOS. 482/483, VILLAGE- DAUTANA, TEHSIL-CHATTA, MATHURA","SURUCHI FOODS PVT LTD.","[No records Found]","10013051000637","07AADCS5011M1ZD"
"FLAT NO.92, PLOT NO.11, AASHIRWAD APPARTMENT DWARKA SECTRO-12, NEW DLHI-110078","ONESTA HOMESOLUTIONS PRIVATE LIMITED ","[No records Found]","13318006000186","07AABCO9261F1ZE"
"D-24, SMA INDUSTRIAL AREA,
G. T. KARNAL ROAD, DELHI -32","VKC NUTS PVT LTD","[No records Found]","10014011001646","06AAACV9265B1ZE"
"Hilton Agro Foods Private Limited, Near New Bus Stand, V. Shahpur Begu, District Sirsa","Hilton Agro Foods Private Limited","[No records Found]","10814019000010","06AACCH6107L1ZM"
"B-257 OKHLA INDUSTRIAL AREA PHASE-1","BESURE HEALTHCARE PVT LTD","[No records Found]","13315010000643","07AADCB3483G1ZR"
"96 DSIDC OKHLA PHASE 1 INDUSTRIAL AREA NEW DELHI 110020 ","MAGNUS WELLNESS PVT LTD","[No records Found]","13322010000344","09AAFCM1720P1Z7"
"407,4TH FLOOR,CRYSTAL MALL,A-3,SAWAI JAI SINGH HIGHWAY, BANIPARK, JAIPUR","PLACID TRADELINKS PRIVATE LIMITED","[No records Found]","12216026001479","08AACCP5025F1ZO"
